,Date,CPI Price,CPI Change%,DXY Price ($),DXY Change%,sp500 Close Price ($),sp500 Change %,Gold Price ($),Gold Change %
64,1/07/2009,215.351,-0.001585587,79.67,-0.61%,923.3300171,-0.020723937,938.25,-0.044308633
65,1/09/2009,215.969,0.000625481,78.76,0.75%,998.039978,0.010693885,955,0.017852385
66,1/10/2009,216.177,0.000963101,77.19,0.70%,1029.849976,0.031872468,1004.75,0.052094241
67,1/12/2009,215.949,-0.001761198,74.36,-0.56%,1108.859985,0.070131972,1192.5,0.186862404
68,1/02/2010,216.741,0.000249207,79.24,-0.28%,1089.189941,-0.023235615,1086.5,-0.00091954
69,1/03/2010,217.631,0.004106284,80.66,0.37%,1115.709961,0.024348388,1114,0.02531063
70,1/04/2010,218.009,0.001736885,80.78,-0.36%,1178.099976,0.055919564,1123.5,0.008527828
71,1/06/2010,217.965,-0.000976267,86.64,0.06%,1070.709961,-0.097734022,1227.75,0.092790387
72,1/07/2010,218.011,0.000211043,84.72,-1.51%,1027.369995,-0.040477783,1234,0.005090613
73,1/09/2010,218.439,0.000581736,82.52,-0.82%,1080.290039,-0.019344532,1246.5,0.01012966
74,1/10/2010,218.711,0.001245199,78.09,-0.80%,1146.23999,0.061048375,1316.25,0.055956679
75,1/11/2010,218.803,0.000420646,77.3,0.04%,1184.380005,0.033274022,1354.5,0.029059829
76,1/12/2010,219.179,0.001718441,80.71,-0.59%,1206.069946,0.01831333,1385.5,0.022886674
77,1/02/2011,221.309,0.004931365,77.07,-0.85%,1307.589966,0.039717209,1331.5,-0.038975099
78,1/03/2011,223.467,0.009751072,77.05,0.21%,1306.329956,-0.000963612,1420.75,0.067029666
79,1/04/2011,224.906,0.00643943,75.83,-0.04%,1332.410034,0.019964388,1418,-0.001935597
80,1/06/2011,225.722,-0.001070967,74.68,0.05%,1314.550049,-0.035977983,1533.75,0.081629055
81,1/07/2011,225.922,0.000886046,74.35,0.07%,1339.670044,0.019109196,1483,-0.033088835
82,1/08/2011,226.545,0.002757589,74.26,0.49%,1286.939941,-0.039360515,1623,0.094403237
83,1/09/2011,226.889,0.001518462,74.48,0.49%,1204.420044,-0.064121017,1821,0.121996303
84,1/11/2011,226.23,-0.000843561,77.26,1.43%,1218.280029,0.076770768,1699,-0.066996156
85,1/12/2011,225.672,-0.002466516,78.33,-0.06%,1244.579956,0.021587752,1752,0.03119482
86,1/02/2012,227.663,0.004402974,78.92,-0.47%,1324.089966,0.05287054,1740,-0.006849315
87,1/03/2012,229.392,0.007594559,78.79,0.06%,1374.089966,0.037761785,1714,-0.014942529
88,1/05/2012,229.815,-0.001173479,78.86,0.10%,1405.819946,-0.001881492,1664,-0.029171529
89,1/06/2012,229.478,-0.001466397,82.89,-0.18%,1278.040039,-0.090893508,1606,-0.034855769
90,1/08/2012,230.379,0.005565158,83.06,0.51%,1375.319946,0.009661062,1599,-0.004358655
91,1/10/2012,231.317,-0.000388925,79.82,-0.15%,1444.48999,0.026951923,1787,0.117573483
92,1/11/2012,230.221,-0.004738087,80.05,0.16%,1427.589966,-0.011699648,1716.25,-0.039591494
93,1/01/2013,230.28,0.002957304,79.77,0.00%,1426.189941,0.007068231,1657.5,-0.03423161
94,1/02/2013,232.166,0.00819003,79.21,0.00%,1513.170044,0.060987741,1669,0.00693816
95,1/03/2013,232.773,0.002614509,82.28,0.40%,1518.199951,0.003324086,1582.25,-0.051977232
96,1/04/2013,232.531,-0.001039639,82.73,-0.59%,1562.170044,0.028961991,1598.25,0.010112182
97,1/05/2013,232.945,0.001780408,81.48,-0.33%,1582.699951,0.013141916,1454.75,-0.089785703
98,1/07/2013,233.596,0.000393998,83.05,-0.11%,1614.959961,-0.009676607,1242.75,-0.145729507
99,1/08/2013,233.877,0.001202932,82.34,1.09%,1706.869995,0.056911649,1315,0.058137196
100,1/10/2013,233.546,-0.002575283,80.14,-0.10%,1695,0.03798602,1290.75,-0.018441065
101,1/11/2013,233.069,-0.002042424,80.72,0.66%,1761.640015,0.039315643,1306.75,0.012395894
102,1/01/2014,233.916,0.003720248,80.03,0.00%,1848.359985,0.023562792,1204.5,-0.078247561
103,1/04/2014,237.072,0.003296754,80.09,-0.01%,1885.52002,0.014020312,1283.75,0.065794936
104,1/05/2014,237.9,0.00349261,79.53,0.08%,1883.680054,-0.00097584,1278.5,-0.004089581
105,1/07/2014,238.25,-0.000390194,79.81,0.04%,1973.319946,0.025863369,1327.5,0.038326163
106,1/08/2014,237.852,-0.001670514,81.3,-0.20%,1925.150024,-0.024410599,1291.25,-0.027306968
107,1/09/2014,238.031,0.000752569,82.75,0.00%,2003.369995,0.040630584,1286.5,-0.003678606
108,1/10/2014,237.433,-0.002512278,85.97,0.03%,1946.160034,-0.028556862,1216.5,-0.054411193
109,1/12/2014,234.812,-0.005670101,87.95,-0.46%,2053.439941,0.017536677,1194,-0.018495684
110,1/01/2015,233.707,-0.004705892,90.27,0.00%,2058.899902,0.002658934,1206,0.010050251
111,1/04/2015,236.599,0.002032873,98.19,-0.17%,2059.689941,-0.021292496,1197,-0.007462687
112,1/05/2015,237.805,0.005097232,95.3,0.74%,2108.290039,0.023595832,1175.95,-0.017585631
113,1/06/2015,238.638,0.00350287,97.39,0.50%,2111.72998,0.001631626,1199.9,0.020366512
114,1/07/2015,238.654,6.70E-05,96.31,0.87%,2077.419922,-0.01624737,1168,-0.026585549
115,1/09/2015,237.945,-0.001556757,95.45,-0.39%,1913.849976,-0.090306347,1142.3,-0.022003425
116,1/10/2015,237.838,-0.000449684,96.19,-0.17%,1923.819946,0.005209379,1119,-0.020397444
117,1/12/2015,236.525,-0.003417096,99.8,-0.37%,2102.629883,0.011190835,1065.4,-0.047899911
118,1/01/2016,236.916,0.001653102,98.63,0.00%,2043.939941,-0.027912635,1060,-0.005068519
119,1/02/2016,237.111,0.000823077,99.01,-0.60%,1939.380005,-0.051156071,1126.5,0.062735849
120,1/03/2016,238.132,0.004306,98.35,0.14%,1978.349976,0.020094036,1236.5,0.097647581
121,1/04/2016,239.261,0.004741068,94.62,0.03%,2072.780029,0.047731723,1213.6,-0.018520016
122,1/06/2016,241.018,0.003284366,95.45,-0.46%,2099.330078,0.016477039,1214.5,0.000741595
123,1/07/2016,240.628,-0.001618136,95.65,-0.51%,2102.949951,0.001724299,1340,0.103334706
124,1/08/2016,240.849,0.00091843,95.71,0.19%,2170.840088,0.032283287,1349.65,0.007201493
125,1/09/2016,241.428,0.002403996,95.65,-0.39%,2170.860107,9.22E-06,1309.5,-0.029748453
126,1/11/2016,241.353,-0.001555461,97.7,-0.75%,2111.719971,-0.026080723,1288.45,-0.016074838
127,1/12/2016,241.432,0.000327321,101.04,-0.45%,2191.080078,0.037580791,1161.85,-0.098257596
128,1/02/2017,243.603,0.003146117,99.64,0.13%,2279.550049,0.018188058,1203.65,0.035977105
129,1/03/2017,243.801,0.000812798,101.78,0.65%,2395.959961,0.051067057,1240.4,0.030532131
130,1/05/2017,244.733,0.000854722,99.08,0.03%,2388.330078,0.010839248,1266.45,0.02100129
131,1/06/2017,244.955,0.000907111,97.2,0.29%,2430.060059,0.017472451,1264.85,-0.001263374
132,1/08/2017,245.519,0.002994452,93.04,0.19%,2476.350098,0.021845328,1270.95,0.004822706
133,1/09/2017,246.819,0.005294906,92.81,0.15%,2476.550049,8.07E-05,1320.4,0.038907904
134,1/11/2017,246.669,2.43E-05,94.81,0.27%,2579.360107,0.023815571,1277.05,-0.03283096
135,1/12/2017,246.524,-0.000587832,92.89,-0.17%,2642.219971,0.024370332,1275.5,-0.001213735
136,1/01/2018,247.867,0.005447745,92.25,-0.04%,2673.610107,0.011880213,1291,0.012152097
137,1/02/2018,248.991,0.00453469,88.67,-0.52%,2821.97998,0.055494207,1341.35,0.039000775
138,1/03/2018,249.554,0.002261126,90.32,-0.32%,2677.669922,-0.051137875,1307.75,-0.025049391
139,1/05/2018,251.588,0.004158917,92.45,0.66%,2654.800049,0.005274751,1307.1,-0.000497037
140,1/06/2018,251.989,0.001593876,94.19,0.22%,2734.620117,0.03006632,1294.6,-0.009563155
141,1/08/2018,252.146,0.000555542,94.62,0.14%,2813.360107,0.03494373,1219,-0.058396416
142,1/10/2018,252.885,0.001766763,95.3,0.18%,2924.590088,0.007951028,1189.35,-0.024323216
143,1/11/2018,252.038,-0.003349349,96.28,-0.88%,2740.370117,-0.062990014,1231.15,0.035145247
144,1/01/2019,251.712,0.001906597,96.17,0.00%,2506.850098,-0.091776895,1279,0.038866101
145,1/02/2019,252.776,0.004227053,95.58,0.00%,2706.530029,0.079653718,1318.7,0.031039875
146,1/03/2019,254.202,0.005641358,96.53,0.38%,2803.689941,0.035898331,1311.95,-0.005118677
147,1/04/2019,255.548,0.005295002,97.23,-0.05%,2867.189941,0.022648724,1293.5,-0.014063036
148,1/05/2019,256.092,0.002128759,97.69,0.22%,2923.72998,0.01971967,1283.8,-0.007499034
149,1/07/2019,256.571,0.001670942,96.84,0.74%,2964.330078,0.077131318,1390.1,0.082801059
150,1/08/2019,256.558,-5.07E-05,98.37,-0.15%,2953.560059,-0.003633205,1406.8,0.012013524
151,1/10/2019,257.346,0.002286191,99.13,-0.25%,2940.25,0.004712191,1473.45,0.047377026
152,1/11/2019,257.208,-0.000536243,97.24,-0.11%,3066.909912,0.04307794,1508.8,0.023991313
153,1/01/2020,257.971,0.00387977,96.39,0.00%,3230.780029,0.028589819,1514.75,0.003943531
154,1/04/2020,256.389,-0.006686942,99.67,0.63%,2470.5,-0.163738644,1576.55,0.040798812
155,1/05/2020,256.394,1.95E-05,99.08,0.06%,2830.709961,0.145804477,1686.25,0.069582316
156,1/06/2020,257.797,0.005472047,97.83,-0.52%,3055.72998,0.079492432,1730.6,0.026300964
157,1/07/2020,259.101,0.005058244,97.2,-0.20%,3115.860107,0.019677827,1771.05,0.023373397
158,1/09/2020,260.28,0.001392747,92.34,0.21%,3526.649902,0.078116907,1972.35,0.113661387
159,1/10/2020,260.388,0.000414938,93.71,-0.19%,3380.800049,-0.041356488,1902,-0.035668112
160,1/12/2020,260.474,0.000941478,91.31,-0.61%,3662.449951,0.12002899,1810.75,-0.047975815
161,1/01/2021,261.582,0.004253783,89.94,0.00%,3756.070068,0.025562156,1887.6,0.042440977
162,1/02/2021,263.014,0.005474383,90.98,0.44%,3773.860107,0.004736344,1862.95,-0.013058911
163,1/03/2021,264.877,0.007083273,91.04,0.18%,3901.820068,0.033906917,1734.15,-0.069137658
164,1/04/2021,267.054,0.008218909,92.93,-0.32%,4019.870117,0.030255124,1726.05,-0.004670876
165,1/06/2021,271.696,0.009290663,89.83,-0.22%,4202.040039,0.004991454,1899.35,0.100402653
166,1/07/2021,273.003,0.004810524,92.6,0.17%,4319.939941,0.028057777,1781.5,-0.062047543
